Agency Name,County,IncidentDate,LEOKA Assignment Type (NIBRS),LEOKA Circumstance,NIBRS Crime Description,NIBRS Report Title,Victim Age (group),Victim Gender,Victim Race,Distinct Offense Victims
Junction City PD,Lane,7/29/2020,Other - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,Unknown,Female,Unknown,1
Lake Oswego PD,Clackamas,9/15/2020,One Man Vehicle - Alone,Mentally Deranged,Simple Assault,Simple Assault,Unknown,Female,White,1
Lincoln SO,Lincoln,5/26/2021,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,Unknown,Male,White,1
Lincoln SO,Lincoln,2/25/2021,Other - Assisted,All Other,Simple Assault,Simple Assault,Unknown,Male,Hispanic or Latino,1
Lincoln SO,Lincoln,2/13/2020,Other - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,Unknown,Male,Unknown,1
Lincoln SO,Lincoln,1/25/2020,One Man Vehicle - Alone,Responding to Domestic Disturbance,Simple Assault,Simple Assault,Unknown,Female,White,1
Lincoln SO,Lincoln,5/2/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,Unknown,Male,White,1
Lincoln SO,Lincoln,12/19/2021,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,Unknown,Male,White,1
Lincoln SO,Lincoln,1/5/2022,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,Unknown,Male,White,1
Marion SO,Marion,1/8/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,1
Marion SO,Marion,1/20/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,1
Marion SO,Marion,2/8/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,1
Marion SO,Marion,2/17/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,1
Marion SO,Marion,2/22/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,1
Marion SO,Marion,2/24/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,1
Marion SO,Marion,3/27/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,1
Marion SO,Marion,3/29/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,2
Marion SO,Marion,7/21/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,2
Marion SO,Marion,8/17/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,1
Marion SO,Marion,8/27/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,1
Marion SO,Marion,8/31/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,1
Marion SO,Marion,9/20/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,1
Marion SO,Marion,10/31/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,1
Marion SO,Marion,11/1/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,1
Marion SO,Marion,12/8/2020,SRS,SRS,OUCR Only Crime,Aggravated Assault,Unknown,N/A,N/A,1
McMinnville PD,Yamhill,7/14/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,Unknown,Male,White,1
McMinnville PD,Yamhill,8/28/2021,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,Unknown,Male,White,1
McMinnville PD,Yamhill,11/25/2020,One Man Vehicle - Alone,Responding to Domestic Disturbance,Simple Assault,Simple Assault,Unknown,Male,White,1
McMinnville PD,Yamhill,11/25/2020,Two Man Vehicle,Responding to Domestic Disturbance,Simple Assault,Simple Assault,Unknown,Female,White,1
McMinnville PD,Yamhill,12/23/2020,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Simple Assault,Simple Assault,Unknown,Male,White,1
McMinnville PD,Yamhill,12/23/2020,Two Man Vehicle,Traffic Pursuit and Stops,Simple Assault,Simple Assault,Unknown,Male,White,1
McMinnville PD,Yamhill,8/28/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,Unknown,Female,White,1
