Agency Name,County,IncidentDate,LEOKA Assignment Type (NIBRS),LEOKA Circumstance,NIBRS Crime Description,NIBRS Report Title,Victim Age (group),Victim Gender,Victim Race,Distinct Offense Victims
Salem PD MIP,MARION,3/30/2020,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,25-29,Female,White,1
Salem PD MIP,MARION,7/16/2020,Other - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,25-29,Female,White,1
Salem PD MIP,MARION,7/16/2020,Other - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Salem PD MIP,MARION,8/22/2020,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,25-29,Female,White,1
Salem PD MIP,MARION,8/30/2020,One Man Vehicle - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,25-29,Female,White,1
Salem PD MIP,MARION,11/1/2020,One Man Vehicle - Alone,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Salem PD MIP,MARION,12/29/2020,One Man Vehicle - Assisted,Mentally Deranged,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Salem PD MIP,MARION,6/17/2021,One Man Vehicle - Alone,Robberies in Progress/Pursuing Robbery Suspects,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Salem PD MIP,MARION,7/11/2021,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Salem PD MIP,MARION,7/28/2021,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Salem PD MIP,MARION,8/7/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,25-29,Male,White,2
Salem PD MIP,MARION,12/2/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,25-29,Female,White,1
Salem PD MIP,MARION,12/2/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Salem PD MIP,MARION,2/13/2022,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Salem PD MIP,MARION,3/19/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Intimidation,Intimidation,25-29,Male,Hispanic or Latino,1
Salem PD MIP,MARION,5/18/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Intimidation,Intimidation,25-29,Male,Hispanic or Latino,1
Salem PD MIP,MARION,7/11/2021,One Man Vehicle - Alone,Attempting Other Arrests,Intimidation,Intimidation,25-29,Male,Hispanic or Latino,1
Salem PD MIP,MARION,11/26/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Intimidation,Intimidation,25-29,Male,Hispanic or Latino,1
Salem PD MIP,MARION,1/17/2021,One Man Vehicle - Assisted,Responding to Disturbance,Intimidation,Intimidation,25-29,Male,White,1
Salem PD MIP,MARION,2/27/2021,One Man Vehicle - Alone,Mentally Deranged,Intimidation,Intimidation,25-29,Male,White,1
Salem PD MIP,MARION,3/19/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Intimidation,Intimidation,25-29,Male,White,1
Salem PD MIP,MARION,7/6/2021,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Intimidation,Intimidation,25-29,Male,White,1
Salem PD MIP,MARION,9/13/2021,One Man Vehicle - Alone,Attempting Other Arrests,Intimidation,Intimidation,25-29,Female,White,1
Salem PD MIP,MARION,1/4/2022,One Man Vehicle - Assisted,Responding to Disturbance,Intimidation,Intimidation,25-29,Male,White,1
Salem PD MIP,MARION,1/29/2022,One Man Vehicle - Alone,All Other,Intimidation,Intimidation,25-29,Male,White,1
Salem PD MIP,MARION,5/7/2021,Other - Assisted,Mentally Deranged,Simple Assault,Simple Assault,25-29,Male,Asian,1
Salem PD MIP,MARION,2/26/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,Black or African American,1
Salem PD MIP,MARION,6/14/2020,One Man Vehicle - Alone,Mentally Deranged,Simple Assault,Simple Assault,25-29,Male,Black or African American,1
Salem PD MIP,MARION,3/21/2020,One Man Vehicle - Alone,All Other,Simple Assault,Simple Assault,25-29,Male,Hispanic or Latino,1
Salem PD MIP,MARION,4/16/2020,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Male,Unknown,1
Salem PD MIP,MARION,12/20/2020,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,25-29,Male,Unknown,1
Salem PD MIP,MARION,3/4/2022,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,Unknown,1
Salem PD MIP,MARION,3/19/2022,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,Unknown,1
Salem PD MIP,MARION,3/9/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,3/14/2020,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,25-29,Female,White,1
Salem PD MIP,MARION,6/4/2020,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,25-29,Female,White,1
Salem PD MIP,MARION,6/6/2020,One Man Vehicle - Alone,Mentally Deranged,Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,6/29/2020,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,12/20/2020,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,2/6/2021,One Man Vehicle - Assisted,Mentally Deranged,Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,5/7/2021,Other - Assisted,Mentally Deranged,Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,5/8/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,7/8/2021,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,8/22/2021,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,8/24/2021,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,9/2/2021,One Man Vehicle - Alone,All Other,Simple Assault,Simple Assault,25-29,Female,White,1
Salem PD MIP,MARION,9/9/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,9/11/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,1/9/2022,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Female,White,1
Salem PD MIP,MARION,2/9/2022,Two Man Vehicle,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,2/13/2022,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,2/17/2022,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,White,1
Salem PD MIP,MARION,3/4/2022,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Female,White,1
Seaside PD,Clatsop,5/16/2020,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,25-29,Male,White,1
Seaside PD,Clatsop,6/1/2020,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Male,White,1
Sherman SO,Sherman,4/23/2021,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Silverton PD,Marion,3/1/2021,One Man Vehicle - Alone,Mentally Deranged,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Springfield PD,Lane,12/9/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Springfield PD,Lane,4/13/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Female,White,1
Springfield PD,Lane,1/2/2022,One Man Vehicle - Assisted,All Other,Simple Assault,Simple Assault,25-29,Male,White,1
Stayton PD,Marion,8/10/2021,One Man Vehicle - Alone,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,25-29,Male,Hispanic or Latino,1
The Dalles PD,Wasco,3/7/2021,One Man Vehicle - Assisted,Burglaries in Progress/Pursuing Burglary Suspects,Simple Assault,Simple Assault,25-29,Male,White,1
Tigard PD,Washington,3/27/2020,Other - Assisted,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Tigard PD,Washington,6/13/2020,One Man Vehicle - Alone,All Other,Simple Assault,Simple Assault,25-29,Female,Asian,1
Tigard PD,Washington,2/19/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Female,Asian,1
Tigard PD,Washington,7/19/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Tigard PD,Washington,3/18/2022,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Tualatin PD,Washington,1/11/2022,One Man Vehicle - Alone,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Tualatin PD,Washington,1/23/2022,One Man Vehicle - Alone,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,25-29,Female,White,1
Umatilla PD,Umatilla,10/18/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Female,White,1
Wallowa SO,Wallowa,6/19/2020,Other - Assisted,All Other,Simple Assault,Simple Assault,25-29,Male,White,1
Washington SO,Washington,6/11/2021,Other - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,25-29,Male,Hispanic or Latino,1
Washington SO,Washington,11/22/2021,One Man Vehicle - Assisted,All Other,Aggravated Assault,Aggravated Assault,25-29,Male,Unknown,1
Washington SO,Washington,7/28/2020,Other - Assisted,All Other,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Washington SO,Washington,8/14/2020,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,25-29,Female,White,1
Washington SO,Washington,8/14/2020,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Washington SO,Washington,9/4/2020,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Washington SO,Washington,9/7/2020,One Man Vehicle - Assisted,Mentally Deranged,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Washington SO,Washington,1/30/2021,Other - Assisted,All Other,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Washington SO,Washington,2/5/2021,Other - Assisted,All Other,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Washington SO,Washington,2/6/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Washington SO,Washington,10/30/2021,One Man Vehicle - Alone,Responding to Disturbance,Aggravated Assault,Aggravated Assault,25-29,Female,White,1
Washington SO,Washington,5/15/2021,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Male,Hispanic or Latino,1
Washington SO,Washington,5/2/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Male,White,1
Washington SO,Washington,8/16/2020,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Washington SO,Washington,11/22/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Male,White,1
Washington SO,Washington,5/5/2021,Other - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,25-29,Female,White,1
Washington SO,Washington,9/15/2021,One Man Vehicle - Alone,Ambush/No Warning,Simple Assault,Simple Assault,25-29,Male,White,1
West Linn PD,Clackamas,6/6/2021,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,25-29,Male,White,1
Woodburn PD,Marion,11/12/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Female,White,1
Yamhill SO,Yamhill,7/6/2021,Other - Assisted,All Other,Aggravated Assault,Aggravated Assault,25-29,Male,White,2
Yamhill SO,Yamhill,5/11/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Female,White,1
Yamhill SO,Yamhill,8/4/2021,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,25-29,Male,White,1
Albany PD,Linn,9/13/2021,Two Man Vehicle,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,30-34,Male,White,2
Albany PD,Linn,12/25/2021,Two Man Vehicle,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Albany PD,Linn,8/1/2020,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,30-34,Male,Black or African American,1
Albany PD,Linn,12/5/2020,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,30-34,Male,Black or African American,1
Albany PD,Linn,2/4/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Albany PD,Linn,10/5/2021,Two Man Vehicle,Responding to Domestic Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Albany PD,Linn,12/28/2021,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Astoria PD,Clatsop,6/12/2021,Other - Assisted,Mentally Deranged,Simple Assault,Simple Assault,30-34,Male,Unknown,1
Astoria PD,Clatsop,6/22/2020,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Astoria PD,Clatsop,5/27/2021,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Astoria PD,Clatsop,6/12/2021,One Man Vehicle - Alone,Mentally Deranged,Simple Assault,Simple Assault,30-34,Male,White,1
Baker City PD,Baker,4/6/2021,Other - Alone,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Baker City PD,Baker,3/2/2022,Other - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Beaverton PD MIP,Washington,7/12/2021,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Beaverton PD MIP,Washington,2/11/2020,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Beaverton PD MIP,Washington,6/1/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Bend PD MIP,Deschutes,8/17/2020,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,30-34,Male,Unknown,1
Bend PD MIP,Deschutes,11/10/2020,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Bend PD MIP,Deschutes,1/6/2022,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Bend PD MIP,Deschutes,2/20/2021,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,30-34,Male,Unknown,1
Bend PD MIP,Deschutes,7/27/2021,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,30-34,Male,Unknown,2
Bend PD MIP,Deschutes,1/17/2020,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Bend PD MIP,Deschutes,5/10/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Bend PD MIP,Deschutes,5/17/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Bend PD MIP,Deschutes,9/22/2020,Two Man Vehicle,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Bend PD MIP,Deschutes,6/13/2021,One Man Vehicle - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Simple Assault,Simple Assault,30-34,Male,White,1
Bend PD MIP,Deschutes,12/30/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Bend PD MIP,Deschutes,1/7/2022,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Benton SO,BENTON,2/24/2020,Other - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Canby PD,Clackamas,4/10/2020,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Canby PD,Clackamas,7/31/2020,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Canby PD,Clackamas,6/5/2021,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Canby PD,Clackamas,5/16/2020,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,30-34,Male,White,2
Canby PD,Clackamas,2/10/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Central Point PD,Jackson,9/2/2020,Other - Assisted,Responding to Domestic Disturbance,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Clackamas SO,Clackamas,11/22/2021,One Man Vehicle - Assisted,Ambush/No Warning,Aggravated Assault,Aggravated Assault,30-34,Male,Asian,1
Clackamas SO,Clackamas,5/13/2020,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Clackamas SO,Clackamas,9/1/2020,Other - Assisted,All Other,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Clackamas SO,Clackamas,5/5/2020,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,30-34,Male,Asian,1
Clackamas SO,Clackamas,7/11/2020,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Clackamas SO,Clackamas,1/6/2021,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,30-34,Female,White,1
Clackamas SO,Clackamas,3/9/2021,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Clackamas SO,Clackamas,5/7/2021,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,30-34,Female,White,1
Clackamas SO,Clackamas,10/27/2021,One Man Vehicle - Alone,Traffic Pursuit and Stops,Simple Assault,Simple Assault,30-34,Male,White,1
Clackamas SO,Clackamas,11/8/2021,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Simple Assault,Simple Assault,30-34,Male,White,1
Clatsop SO,Clatsop,2/21/2020,One Man Vehicle - Alone,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Coos Bay PD,Coos,9/4/2021,Two Man Vehicle,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Coos Bay PD,Coos,3/1/2020,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Coos Bay PD,Coos,2/6/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Coos Bay PD,Coos,7/20/2021,Two Man Vehicle,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Coos Bay PD,Coos,12/20/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Coos SO,Coos,10/27/2020,Other - Alone,Traffic Pursuit and Stops,Simple Assault,Simple Assault,30-34,Male,Unknown,1
Coos SO,Coos,10/30/2020,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,30-34,Male,White,1
Cornelius PD,Washington,2/23/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,30-34,Male,Hispanic or Latino,1
Cornelius PD,Washington,2/22/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Corvallis PD,Benton,2/24/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Corvallis PD,Benton,3/7/2020,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,30-34,Male,White,1
Corvallis PD,Benton,11/6/2020,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Corvallis PD,Benton,4/2/2021,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Corvallis PD,Benton,9/28/2021,Other - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Curry SO,Curry,2/21/2021,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,30-34,Female,White,1
Dallas PD,Polk,5/28/2021,One Man Vehicle - Alone,All Other,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Dallas PD,Polk,8/8/2020,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,30-34,Male,White,1
Deschutes SO,Deschutes,10/4/2020,Other - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,30-34,Female,White,1
Deschutes SO,Deschutes,9/26/2021,One Man Vehicle - Alone,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,30-34,Female,White,1
Deschutes SO,Deschutes,12/14/2021,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Eagle Point PD,Jackson,1/14/2021,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Female,White,1
Eugene PD MIP,Lane,8/23/2020,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Eugene PD MIP,Lane,10/1/2020,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Eugene PD MIP,Lane,12/7/2020,Two Man Vehicle,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,30-34,Female,White,1
Eugene PD MIP,Lane,3/7/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Eugene PD MIP,Lane,6/23/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Eugene PD MIP,Lane,3/5/2022,Two Man Vehicle,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Eugene PD MIP,Lane,11/5/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Female,Black or African American,1
Eugene PD MIP,Lane,11/6/2021,One Man Vehicle - Alone,Burglaries in Progress/Pursuing Burglary Suspects,Simple Assault,Simple Assault,30-34,Male,Unknown,1
Eugene PD MIP,Lane,2/26/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,30-34,Male,White,1
Eugene PD MIP,Lane,3/15/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Eugene PD MIP,Lane,10/15/2020,One Man Vehicle - Alone,Mentally Deranged,Simple Assault,Simple Assault,30-34,Male,White,1
Eugene PD MIP,Lane,3/31/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Eugene PD MIP,Lane,9/25/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Eugene PD MIP,Lane,11/22/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Female,White,1
Eugene PD MIP,Lane,12/24/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Eugene PD MIP,Lane,2/5/2022,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Eugene PD MIP,Lane,3/18/2022,One Man Vehicle - Assisted,All Other,Simple Assault,Simple Assault,30-34,Male,White,1
Florence PD,Lane,9/15/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Florence PD,Lane,1/2/2020,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Florence PD,Lane,8/21/2020,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,30-34,Male,White,1
Florence PD,Lane,11/9/2020,Other - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,30-34,Male,White,1
Forest Grove PD,Washington,6/17/2020,Other - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,30-34,Female,White,1
Forest Grove PD,Washington,11/20/2020,Other - Alone,All Other,Simple Assault,Simple Assault,30-34,Male,White,1
Gilliam SO,Gilliam,7/8/2020,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,30-34,Male,White,1
Gilliam SO,Gilliam,8/5/2020,One Man Vehicle - Alone,Traffic Pursuit and Stops,Simple Assault,Simple Assault,30-34,Male,White,1
Gladstone PD,Clackamas,7/2/2021,Two Man Vehicle,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Grants Pass PD,Josephine,7/14/2021,One Man Vehicle - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Grants Pass PD,Josephine,2/24/2022,Other - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
Grants Pass PD,Josephine,4/27/2021,One Man Vehicle - Alone,All Other,Intimidation,Intimidation,30-34,Male,White,1
Grants Pass PD,Josephine,12/11/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Gresham PD MIP,Multnomah,2/27/2020,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,30-34,Male,Hispanic or Latino,1
Gresham PD MIP,Multnomah,1/25/2020,Other - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,30-34,Male,White,1
Gresham PD MIP,Multnomah,5/27/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,30-34,Male,White,1
Hillsboro PD MIP,Washington,9/13/2020,One Man Vehicle - Alone,All Other,Aggravated Assault,Aggravated Assault,30-34,Male,White,1
